ID	geomorphologie_beschreibung	Lithologie	geologie_text	BODENTYP_orig	KLASSE	TYP	SUBTYP	VARIETÄT	VARIETÄT2	humusform_orig	gebiet1_parentmaterial_numerogis
v09	karbonatisches Festgestein	Kalke		Braunerde auf Lockersediment leicht	BRAUNERDEN	Braunerde	Typische Braunerde	auf Lockersediment	leicht		372
v10	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				191
v12	Moraene undifferenziert	Moraene undifferenziert		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				191
v13	Moraene undifferenziert	Moraene undifferenziert		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde	basenarm			191
v14	Blockschutt	Blockschutt		Rendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Rendzina				362
v15	Blockschutt	Blockschutt		Moderrendzina	TERRESTRISCHE HUMUSBÖDEN	Rendzina	Moder-Rendzina				362
v17	Blockschutt	Blockschutt		Pararendzina	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina				362
v18	gemischtes Sedimentgestein	Pelite, Siltite und Sandsteine		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				654
v19	Blockschutt	Blockschutt		Kalklehm-Rendzina	TERRESTRISCHE HUMUSBÖDEN	Kalklehm-Rendzina	Kalklehm-Rendzina				362
v20	silikatisches Sedimentgestein	Pelite, Siltite und Sandsteine		Braunerde podsolig	BRAUNERDEN	Braunerde	Podsolige Braunerde				364
v22	silikatisches Sedimentgestein	Pelite, Siltite und Sandsteine		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				364
v23	Hangschutt	Hangschutt		Grobmaterial-Rohboden carbonatfrei	TERRESTRISCHE ROHBÖDEN	Grobmaterial-Rohboden	Carbonatfreier Grobmaterial-Rohboden				193
v24	Hangschutt	Hangschutt		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			193
w01	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			614
w02	Moraene undifferenziert	Moraene undifferenziert		Braunerde basenarm podsoliert	BRAUNERDEN	Braunerde	Podsolige Braunerde	basenarm			191
w03	silikatisches Festgestein	Rhyolithe		Braunerde podsolig	BRAUNERDEN	Braunerde	Podsolige Braunerde				614
w04	silikatisches Festgestein	Rhyolithe		Braunerde podsolig	BRAUNERDEN	Braunerde	Podsolige Braunerde				614
w05	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			614
w06	silikatisches Festgestein	Rhyolithe		Braunerde basenreich	BRAUNERDEN	Braunerde	Typische Braunerde	basenreich			614
w07	Moraene undifferenziert	Moraene undifferenziert		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			191
x01	silikatisches Festgestein	Rhyolithe		Braunerde (basenarm)	BRAUNERDEN	Braunerde	Typische Braunerde	basenarm			614
x02	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				191
x03	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				191
x04	Moraene undifferenziert	Moraene undifferenziert		Pararendsina-Pelosol	SUBSTRATBÖDEN	Textur-Substratboden	Textur-Substratboden	Pararendzina			191
x05	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				191
x07	Moraene undifferenziert	Moraene undifferenziert		Braunerde auf bindig-tonigem Material (Pelosol)	BRAUNERDEN	Braunerde	Braunerde – tonig				191
x08	Moraene undifferenziert	Moraene undifferenziert		Pararendsina verbraunt	TERRESTRISCHE HUMUSBÖDEN	Pararendzina	Pararendzina	verbraunt			191
x10	Moraene undifferenziert	Moraene undifferenziert		Braunerde carbonathaltig	BRAUNERDEN	Braunerde	Carbonathaltige Braunerde				191
x12	karbonatisches Festgestein	Kalke		Braunerde basenreich	BRAUNERDEN	Braunerde	Typische Braunerde	basenreich			372
